시도명,구명,동명,면적_km2,구성비_percent,행정동_수,법정동_수
서울시,서대문구,홍은1동,1.58,0.26,1.0,1
서울시,서대문구,홍은2동,2.06,0.34,1.0,0
서울시,서대문구,남가좌1동,0.51,0.08,1.0,1
서울시,서대문구,남가좌2동,0.77,0.13,1.0,0
서울시,서대문구,북가좌1동,0.55,0.09,1.0,1
서울시,서대문구,북가좌2동,0.84,0.14,1.0,0
서울시,서대문구,충현동,1.12,0.19,1.0,5
서울시,서대문구,북아현동,0.46,0.08,1.0,0
서울시,서대문구,신촌동,2.63,0.43,1.0,5
서울시,서대문구,연희동,3.05,0.5,1.0,1
서울시,마포구,소계,23.85,3.94,16.0,26
서울시,마포구,용강동,0.84,0.14,1.0,2
서울시,마포구,대흥동,0.88,0.15,1.0,2
서울시,마포구,염리동,0.43,0.07,1.0,1
서울시,마포구,신수동,0.78,0.13,1.0,4
서울시,마포구,서교동,1.65,0.27,1.0,2
서울시,마포구,합정동,1.69,0.28,1.0,1
서울시,마포구,망원1동,1.14,0.19,1.0,1
서울시,마포구,망원2동,0.67,0.11,1.0,0
서울시,마포구,연남동,0.65,0.11,1.0,1
서울시,마포구,성산1동,0.8,0.13,1.0,1
서울시,마포구,성산2동,2.07,0.34,1.0,1
서울시,마포구,상암동,8.4,1.39,1.0,1
서울시,마포구,도화동,0.62,0.1,1.0,2
서울시,마포구,서강동,1.45,0.24,1.0,4
서울시,마포구,공덕동,1.01,0.17,1.0,1
서울시,마포구,아현동,0.76,0.13,1.0,2
서울시,양천구,소계,17.41,2.88,18.0,3
서울시,양천구,목1동,1.41,0.23,1.0,1
서울시,양천구,목2동,1.03,0.17,1.0,0
서울시,양천구,목3동,0.53,0.09,1.0,0
서울시,양천구,목4동,0.57,0.09,1.0,0
서울시,양천구,목5동,1.81,0.3,1.0,0
서울시,양천구,신월1동,0.65,0.11,1.0,1
서울시,양천구,신월2동,0.61,0.1,1.0,0
서울시,양천구,신월3동,0.87,0.14,1.0,0
서울시,양천구,신월4동,0.52,0.09,1.0,0
서울시,양천구,신월5동,0.69,0.11,1.0,0
서울시,양천구,신월6동,0.41,0.07,1.0,0
서울시,양천구,신월7동,1.19,0.2,1.0,0
서울시,양천구,신정1동,0.7,0.12,1.0,1
서울시,양천구,신정2동,0.52,0.09,1.0,0
서울시,양천구,신정4동,1.01,0.17,1.0,0
서울시,양천구,신정3동,2.72,0.45,1.0,0
서울시,양천구,신정6동,0.96,0.16,1.0,0
서울시,양천구,신정7동,1.21,0.2,1.0,0
서울시,강서구,소계,41.45,6.85,20.0,13
서울시,강서구,염창동,1.74,0.29,1.0,1
서울시,강서구,등촌1동,0.64,0.11,1.0,1
서울시,강서구,등촌2동,0.92,0.15,1.0,0
서울시,강서구,등촌3동,0.79,0.13,1.0,0
서울시,강서구,화곡본동,0.98,0.16,1.0,1
서울시,강서구,화곡2동,0.45,0.07,1.0,0
서울시,강서구,화곡3동,0.53,0.09,1.0,0
서울시,강서구,화곡4동,0.82,0.14,1.0,0
서울시,강서구,화곡6동,1.11,0.18,1.0,0
서울시,강서구,화곡8동,0.53,0.09,1.0,0
서울시,강서구,가양1동,4.7,0.78,1.0,2
